regime,regime_label,library,transform,status,supported,early_stopped,num_successful_runs,median_throughput,mean_throughput,std_throughput,cv_throughput,ci95,gpu_peak_allocated_mb,gpu_peak_reserved_mb,reason,source_files,measured,gpu_peak_allocated_gb,gpu_peak_reserved_gb
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Pad+Normalize+ToTensor,ok,True,False,3,3756.133175292844,3764.720459888504,77.94109774927968,0.0207030239242751,88.19865498230386,3064.0,3064.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,2.9921875,2.9921875
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Resize+Normalize+ToTensor,ok,True,False,3,3523.1399410311906,3548.9474013000727,61.155043728963406,0.0172318822495257,69.2034466800719,3016.0,3016.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,2.9453125,2.9453125
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Rotate+Normalize+ToTensor,ok,True,False,3,3808.5365410948593,3800.3997394476582,63.33485913429425,0.0166653150922221,71.67014002173275,3112.0,3112.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,3.0390625,3.0390625
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+SaltAndPepper+Normalize+ToTensor,ok,True,False,3,3824.420277623381,3784.796577602474,75.79361264566425,0.0200258088094332,85.76854682110383,3032.0,3032.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,2.9609375,2.9609375
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Saturation+Normalize+ToTensor,ok,True,False,3,3792.4858839285966,3793.880954714052,29.720713464372004,0.0078338550468861,33.632153361559304,3000.0,3000.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,2.9296875,2.9296875
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Shear+Normalize+ToTensor,ok,True,False,3,3771.7445775432057,3793.433995534591,53.910126894684026,0.014211431372773,61.005051498397705,3112.0,3112.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,3.0390625,3.0390625
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+VerticalFlip+Normalize+ToTensor,ok,True,False,3,3766.215919065848,3741.241331513169,118.23119757889438,0.0316021307107379,133.79119494762156,3096.0,3096.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,3.0234375,3.0234375
rgb_dataloader_gpu,GPU DataLoader,dali,RandomResizedCrop+Normalize+ToTensor,ok,True,False,3,3898.103782305846,3855.6369121927496,103.1019743004638,0.0267405818152696,116.67086712805512,3016.0,3016.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-dali/results/image-rgb/pipeline/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,2.9453125,2.9453125
rgb_dataloader_gpu,GPU DataLoader,kornia,RandomCrop224+Affine+Normalize+ToTensor,ok,True,False,3,646.2468604684486,646.159444340917,2.1576520506577572,0.0033391944814155,2.441613144839016,597.15478515625,2474.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-gpu-memory-r3-20260507/results/image-rgb/pipeline/kornia_memory_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,0.5831589698791504,2.416015625
rgb_dataloader_gpu,GPU DataLoader,kornia,RandomCrop224+AutoContrast+Normalize+ToTensor,ok,True,False,3,650.5015769330818,650.0721200307013,4.452362026993981,0.0068490278075357,5.0383219330367,605.37744140625,3526.0,,gcp_runs/prod-g2-standard-16-rgb-dataloader-gpu-memory-r3-20260507/results/image-rgb/pipeline/kornia_memory_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json,True,0.591188907623291,3.443359375
