regime_label,transform,winner,winner_throughput,second,second_throughput,gap
CPU DataLoader,RandomCrop224+Sharpen+Normalize+ToTensor,albumentationsx,4821.655211523693,torchvision,1400.9595140330212,3.4416806219069973
CPU DataLoader,RandomCrop224+Shear+Normalize+ToTensor,albumentationsx,4261.200174545933,pillow,2523.910735274077,1.6883323625481548
CPU DataLoader,RandomCrop224+SmallestMaxSize+Normalize+ToTensor,albumentationsx,1328.7369796606447,kornia,553.6421833335977,2.3999923048855054
CPU DataLoader,RandomCrop224+Snow+Normalize+ToTensor,albumentationsx,4135.045604222957,kornia,1044.5917991064453,3.9585277308898252
CPU DataLoader,RandomCrop224+Solarize+Normalize+ToTensor,albumentationsx,5338.813635495953,pillow,3603.135183045816,1.4817133868907264
CPU DataLoader,RandomCrop224+ThinPlateSpline+Normalize+ToTensor,kornia,753.1876182116495,albumentationsx,720.9504677079678,1.0447147924130895
CPU DataLoader,RandomCrop224+Transpose+Normalize+ToTensor,albumentationsx,5230.601565203944,pillow,3605.934116874428,1.4505538358914207
CPU DataLoader,RandomCrop224+UnsharpMask+Normalize+ToTensor,albumentationsx,4521.635281919213,pillow,2083.122054414947,2.1706050648045836
CPU DataLoader,RandomCrop224+VerticalFlip+Normalize+ToTensor,albumentationsx,5301.694351161125,torchvision,3828.033849399919,1.3849653790266816
CPU DataLoader,RandomResizedCrop+Normalize+ToTensor,albumentationsx,5056.20900585008,torchvision,3787.766628378537,1.3348787034470855
GPU micro,AutoContrast,torchvision,3942.248752278044,kornia,689.187082251171,5.72014312775716
GPU micro,Brightness,torchvision,5706.845846104597,kornia,658.1587992452982,8.670925394674597
GPU micro,ChannelShuffle,torchvision,9557.423300137489,kornia,710.5637824620089,13.45047909284412
GPU micro,ColorJiggle,torchvision,679.9759198903604,kornia,247.4113867406236,2.748361459221036
GPU micro,ColorJitter,torchvision,686.9721949261277,kornia,283.30737887150804,2.4248298708721556
GPU micro,Contrast,torchvision,3274.001228274322,kornia,652.2956975010368,5.019197950894223
GPU micro,Equalize,torchvision,2015.867668512154,kornia,320.8201698859289,6.283481706368143
GPU micro,GaussianBlur,torchvision,2803.182369409111,kornia,455.5995328345395,6.152733195244836
GPU micro,Grayscale,torchvision,8863.824475146137,kornia,685.6433377708303,12.927748272103514
GPU micro,HorizontalFlip,torchvision,16083.824906623502,kornia,849.3443574352428,18.936753703988423
GPU micro,Invert,torchvision,15936.050668485865,kornia,772.0290034976149,20.641777182319416
GPU micro,Posterize,torchvision,15121.973345536917,kornia,564.2230357320485,26.801410768202654
GPU micro,RandomCrop224,torchvision,15008.33157510807,kornia,307.39558190563304,48.82416162934787
GPU micro,RandomResizedCrop,torchvision,3886.8831869845576,kornia,293.53517799625143,13.241626484149013
GPU micro,Resize,torchvision,6472.709593521548,kornia,272.8705960729614,23.720802778584634
GPU micro,Rotate,torchvision,1363.9033483367562,kornia,290.49729305929185,4.695063881570756
GPU micro,Sharpen,torchvision,3332.525195973645,kornia,525.5464747667793,6.341066596350995
GPU micro,Solarize,torchvision,10111.617443050693,kornia,549.5912899657708,18.39843102986668
GPU micro,VerticalFlip,torchvision,16368.318327648714,kornia,854.0032103543203,19.16657704466662
GPU DataLoader,RandomCrop224+Affine+Normalize+ToTensor,dali,3805.9735959036593,torchvision,1227.019897725713,3.101802670810839
GPU DataLoader,RandomCrop224+AutoContrast+Normalize+ToTensor,torchvision,2044.4539282754893,kornia,695.2233787045891,2.940715158464498
GPU DataLoader,RandomCrop224+Brightness+Normalize+ToTensor,dali,3797.7690459193823,torchvision,2020.340929865038,1.8797664244584102
GPU DataLoader,RandomCrop224+CLAHE+Normalize+ToTensor,dali,3730.619752153531,kornia,163.27219057633374,22.84908249827992
GPU DataLoader,RandomCrop224+ChannelShuffle+Normalize+ToTensor,torchvision,2160.796694228768,kornia,677.7554076186278,3.1881659223066587
GPU DataLoader,RandomCrop224+ColorJiggle+Normalize+ToTensor,dali,3742.4719932595017,torchvision,629.1381008876486,5.948569937155709
GPU DataLoader,RandomCrop224+ColorJitter+Normalize+ToTensor,dali,3817.766756272008,torchvision,635.6942958262952,6.005664643112074
GPU DataLoader,RandomCrop224+Contrast+Normalize+ToTensor,dali,3759.255675616503,torchvision,1984.8363831596864,1.893987689621094
GPU DataLoader,RandomCrop224+Elastic+Normalize+ToTensor,kornia,330.54085329268577,torchvision,109.81344772484688,3.0100216334241923
GPU DataLoader,RandomCrop224+Equalize+Normalize+ToTensor,dali,3823.90627268608,torchvision,1489.5846558377843,2.567095638169962
GPU DataLoader,RandomCrop224+Erasing+Normalize+ToTensor,dali,3791.3937358743783,torchvision,1794.568619344882,2.1127047999192414
GPU DataLoader,RandomCrop224+GaussianBlur+Normalize+ToTensor,dali,3700.910678501528,torchvision,1870.8882475196713,1.978156997569474
GPU DataLoader,RandomCrop224+GaussianNoise+Normalize+ToTensor,dali,3820.015122339706,kornia,697.7269276672118,5.474942948112362
GPU DataLoader,RandomCrop224+Grayscale+Normalize+ToTensor,torchvision,2188.4190893084324,kornia,705.5478708904233,3.1017301300145372
GPU DataLoader,RandomCrop224+HorizontalFlip+Normalize+ToTensor,dali,3722.446227351875,torchvision,2214.252251525088,1.681130153435772
GPU DataLoader,RandomCrop224+Hue+Normalize+ToTensor,dali,3784.169050853031,kornia,717.4385240662245,5.274555134571678
GPU DataLoader,RandomCrop224+Invert+Normalize+ToTensor,torchvision,2211.0762072070224,kornia,699.6009792933334,3.1604818641626684
GPU DataLoader,RandomCrop224+JpegCompression+Normalize+ToTensor,dali,3786.2142519257072,kornia,625.9590234476253,6.048661509937485
GPU DataLoader,RandomCrop224+Normalize+ToTensor,dali,3589.13204342457,torchvision,2193.3733080488028,1.6363525671867578
GPU DataLoader,RandomCrop224+Pad+Normalize+ToTensor,dali,3756.133175292844,torchvision,2188.5731723264716,1.7162474724571548
GPU DataLoader,RandomCrop224+Perspective+Normalize+ToTensor,torchvision,795.1240353703205,kornia,688.7585106267198,1.1544307955582513
GPU DataLoader,RandomCrop224+Posterize+Normalize+ToTensor,torchvision,2203.5442015155427,kornia,588.3394628727212,3.745361888111605
GPU DataLoader,RandomCrop224+Resize+Normalize+ToTensor,dali,3523.1399410311906,torchvision,2050.434690954977,1.718240506060844
GPU DataLoader,RandomCrop224+Rotate+Normalize+ToTensor,dali,3808.5365410948593,torchvision,1261.1679834820238,3.019848736232325
GPU DataLoader,RandomCrop224+SaltAndPepper+Normalize+ToTensor,dali,3824.420277623381,kornia,386.1625555731663,9.903653843255052
GPU DataLoader,RandomCrop224+Saturation+Normalize+ToTensor,dali,3792.4858839285966,kornia,619.6211243977393,6.120652983893707
GPU DataLoader,RandomCrop224+Sharpen+Normalize+ToTensor,torchvision,1943.796855185515,kornia,654.8437709875276,2.968336787038839
GPU DataLoader,RandomCrop224+Solarize+Normalize+ToTensor,torchvision,2096.670640101441,kornia,679.1338113225906,3.0872717646294836
GPU DataLoader,RandomCrop224+VerticalFlip+Normalize+ToTensor,dali,3766.215919065848,torchvision,2241.5702225231676,1.6801686073552946
GPU DataLoader,RandomResizedCrop+Normalize+ToTensor,dali,3898.103782305846,torchvision,2047.318551756182,1.9040045228731346
