transform,recipe,albumentationsx_cpu,kornia_cpu,kornia_gpu,torchvision_cpu,torchvision_gpu,pillow_cpu,dali_gpu
PlasmaBrightness,RandomCrop224+PlasmaBrightness+Normalize+ToTensor,**2672 +/- 65**,440 +/- 12,588 +/- 30,-,-,-,-
PlasmaContrast,RandomCrop224+PlasmaContrast+Normalize+ToTensor,**2156 +/- 96**,438 +/- 13,584 +/- 2,-,-,-,-
PlasmaShadow,RandomCrop224+PlasmaShadow+Normalize+ToTensor,**2796 +/- 44**,903 +/- 35,634 +/- 29,-,-,-,-
Posterize,RandomCrop224+Posterize+Normalize+ToTensor,**5319 +/- 74**,1586 +/- 79,588 +/- 5,3702 +/- 287,2204 +/- 22,3498 +/- 315,-
RGBShift,RandomCrop224+RGBShift+Normalize+ToTensor,**4831 +/- 131**,1717 +/- 41,706 +/- 8,-,-,-,-
Rain,RandomCrop224+Rain+Normalize+ToTensor,**4528 +/- 225**,1479 +/- 44,306 +/- 1,-,-,-,-
RandomGamma,RandomCrop224+RandomGamma+Normalize+ToTensor,**5251 +/- 153**,1560 +/- 58,691 +/- 3,-,-,-,-
RandomJigsaw,RandomCrop224+RandomJigsaw+Normalize+ToTensor,**4868 +/- 31**,1564 +/- 104,667 +/- 9,-,-,-,-
RandomRotate90,RandomCrop224+RandomRotate90+Normalize+ToTensor,**5087 +/- 49**,1455 +/- 43,660 +/- 1,-,-,-,-
Resize,RandomCrop224+Resize+Normalize+ToTensor,1334 +/- 16,538 +/- 8,186 +/- 1,1225 +/- 12,2050 +/- 118,-,**3523 +/- 69**
Rotate,RandomCrop224+Rotate+Normalize+ToTensor,**4782 +/- 137**,1459 +/- 23,690 +/- 8,2988 +/- 155,1261 +/- 27,3532 +/- 304,3809 +/- 72
SaltAndPepper,RandomCrop224+SaltAndPepper+Normalize+ToTensor,**4460 +/- 46**,1429 +/- 47,386 +/- 4,-,-,-,3824 +/- 86
Saturation,RandomCrop224+Saturation+Normalize+ToTensor,**4582 +/- 110**,1101 +/- 31,620 +/- 7,-,-,3156 +/- 209,3792 +/- 34
Sharpen,RandomCrop224+Sharpen+Normalize+ToTensor,**4822 +/- 142**,1208 +/- 44,655 +/- 3,1401 +/- 328,1944 +/- 52,-,-
Shear,RandomCrop224+Shear+Normalize+ToTensor,**4261 +/- 88**,1489 +/- 54,-,-,-,2524 +/- 76,3772 +/- 61
SmallestMaxSize,RandomCrop224+SmallestMaxSize+Normalize+ToTensor,**1329 +/- 42**,554 +/- 3,182 +/- 1,-,-,-,-
Snow,RandomCrop224+Snow+Normalize+ToTensor,**4135 +/- 171**,1045 +/- 40,623 +/- 1,-,-,-,-
Solarize,RandomCrop224+Solarize+Normalize+ToTensor,**5339 +/- 72**,1530 +/- 73,679 +/- 17,3545 +/- 75,2097 +/- 90,3603 +/- 207,-
ThinPlateSpline,RandomCrop224+ThinPlateSpline+Normalize+ToTensor,721 +/- 66,753 +/- 28,624 +/- 2,-,-,-,-
Transpose,RandomCrop224+Transpose+Normalize+ToTensor,**5231 +/- 130**,-,-,-,-,3606 +/- 359,-
UnsharpMask,RandomCrop224+UnsharpMask+Normalize+ToTensor,**4522 +/- 78**,-,-,-,-,2083 +/- 33,-
VerticalFlip,RandomCrop224+VerticalFlip+Normalize+ToTensor,**5302 +/- 166**,1817 +/- 67,726 +/- 7,3828 +/- 132,2242 +/- 65,3737 +/- 256,3766 +/- 134
RandomResizedCrop,RandomResizedCrop+Normalize+ToTensor,**5056 +/- 144**,1541 +/- 80,825 +/- 33,3788 +/- 85,2047 +/- 115,2805 +/- 123,3898 +/- 117
