library,transform,median_throughput,albumentationsx_cpu,gpu_to_albumentationsx_cpu
kornia,RandomCrop224+Posterize+Normalize+ToTensor,588.3394628727212,5318.989423072557,0.11061113607796239
kornia,RandomCrop224+RGBShift+Normalize+ToTensor,706.4650442624582,4830.704378265731,0.14624472725778467
kornia,RandomCrop224+Rain+Normalize+ToTensor,305.8685155179022,4528.476287471207,0.06754336251337763
kornia,RandomCrop224+RandomGamma+Normalize+ToTensor,690.7553943624863,5251.25801342494,0.1315409360188658
kornia,RandomCrop224+RandomJigsaw+Normalize+ToTensor,667.3473974046982,4868.344803782538,0.13707890962985858
kornia,RandomCrop224+RandomRotate90+Normalize+ToTensor,659.6019165262983,5086.526497876588,0.12967629615252266
kornia,RandomCrop224+Resize+Normalize+ToTensor,185.7567468618863,1333.7565195167397,0.13927335622636103
kornia,RandomCrop224+Rotate+Normalize+ToTensor,689.6537267093354,4782.327715185465,0.1442087970089247
kornia,RandomCrop224+SaltAndPepper+Normalize+ToTensor,386.1625555731663,4459.661821435879,0.08659009831575826
kornia,RandomCrop224+Saturation+Normalize+ToTensor,619.6211243977393,4581.65912827197,0.13523946392568867
kornia,RandomCrop224+Sharpen+Normalize+ToTensor,654.8437709875276,4821.655211523693,0.13581306465515403
kornia,RandomCrop224+SmallestMaxSize+Normalize+ToTensor,182.46859875235128,1328.7369796606447,0.13732484422835375
kornia,RandomCrop224+Snow+Normalize+ToTensor,622.9879327586326,4135.045604222957,0.15066047448724626
kornia,RandomCrop224+Solarize+Normalize+ToTensor,679.1338113225906,5338.813635495953,0.12720687734954098
kornia,RandomCrop224+ThinPlateSpline+Normalize+ToTensor,624.3865240061135,720.9504677079678,0.86606022462424
kornia,RandomCrop224+VerticalFlip+Normalize+ToTensor,725.9602503256966,5301.694351161125,0.1369298571817336
kornia,RandomResizedCrop+Normalize+ToTensor,824.5699563823423,5056.20900585008,0.16308067080065466
torchvision,RandomCrop224+Affine+Normalize+ToTensor,1227.019897725713,4527.747738309672,0.27100005756588197
torchvision,RandomCrop224+AutoContrast+Normalize+ToTensor,2044.4539282754893,4645.639570365569,0.4400801864434372
torchvision,RandomCrop224+Brightness+Normalize+ToTensor,2020.340929865038,5230.883823338855,0.38623318699046566
torchvision,RandomCrop224+ChannelShuffle+Normalize+ToTensor,2160.796694228768,5086.627144872512,0.42479950519017745
torchvision,RandomCrop224+ColorJiggle+Normalize+ToTensor,629.1381008876486,4255.088937760526,0.1478554526333278
torchvision,RandomCrop224+ColorJitter+Normalize+ToTensor,635.6942958262952,4224.677428715556,0.15047167660787952
torchvision,RandomCrop224+Contrast+Normalize+ToTensor,1984.8363831596864,5258.2047627119055,0.37747415186928024
torchvision,RandomCrop224+Elastic+Normalize+ToTensor,109.81344772484688,2954.0307791337787,0.037174104109046514
torchvision,RandomCrop224+Equalize+Normalize+ToTensor,1489.5846558377843,4304.379162154424,0.3460626026941871
torchvision,RandomCrop224+Erasing+Normalize+ToTensor,1794.568619344882,5118.181694298492,0.35062620409587647
torchvision,RandomCrop224+GaussianBlur+Normalize+ToTensor,1870.8882475196713,5028.959211328799,0.37202295125104573
torchvision,RandomCrop224+Grayscale+Normalize+ToTensor,2188.4190893084324,5263.194581973169,0.4157967286263612
torchvision,RandomCrop224+HorizontalFlip+Normalize+ToTensor,2214.252251525088,5218.143511078761,0.424337170264474
torchvision,RandomCrop224+Invert+Normalize+ToTensor,2211.0762072070224,5491.894898125391,0.4026071598642125
torchvision,RandomCrop224+Normalize+ToTensor,2193.3733080488028,5084.525347676295,0.431382116926845
torchvision,RandomCrop224+Pad+Normalize+ToTensor,2188.5731723264716,4866.595973293161,0.44971334878360436
torchvision,RandomCrop224+Perspective+Normalize+ToTensor,795.1240353703205,3991.972625280864,0.19918073343861614
torchvision,RandomCrop224+PhotoMetricDistort+Normalize+ToTensor,585.0306064755446,4148.99100552892,0.14100551331539074
torchvision,RandomCrop224+Posterize+Normalize+ToTensor,2203.5442015155427,5318.989423072557,0.41427873346712685
torchvision,RandomCrop224+Resize+Normalize+ToTensor,2050.434690954977,1333.7565195167397,1.537338083039258
torchvision,RandomCrop224+Rotate+Normalize+ToTensor,1261.1679834820238,4782.327715185465,0.2637142535166296
torchvision,RandomCrop224+Sharpen+Normalize+ToTensor,1943.796855185515,4821.655211523693,0.40313891597637797
torchvision,RandomCrop224+Solarize+Normalize+ToTensor,2096.670640101441,5338.813635495953,0.39272220070792363
torchvision,RandomCrop224+VerticalFlip+Normalize+ToTensor,2241.5702225231676,5301.694351161125,0.42280261253315005
torchvision,RandomResizedCrop+Normalize+ToTensor,2047.318551756182,5056.20900585008,0.4049117727110204
